variable,category,n,perc
Age,18 to 24 years old,17,0.12
Age,25 to 34 years old,45,0.32
Age,35 to 44 years old,44,0.31
Age,45 to 54 years old,27,0.19
Age,55 years or older,8,0.06
Gender,Male,104,0.74
Gender,Female,35,0.25
Gender,NA,2,0.01
Supervisor,No,85,0.6
Supervisor,Yes,56,0.4
Service,Police,97,0.69
Service,Fire,43,0.3
Service,NA,1,0.01
