Item,Total,Fire,Police
n,156,44,112
Improved Knowledge: Insights,0.76,0.82,0.74
Improved Knowledge: Resources,0.96,0.98,0.95
Improved Knowledge: Comfort,0.86,0.93,0.83
Intent to Use the Information,0.79,0.89,0.76
Satisfaction: Content,0.82,0.91,0.79
Satisfaction: Usefulness,0.82,0.88,0.8
Satisfaction: Clarity of Purpose,0.88,0.93,0.85
Satisfaction: Overall,0.86,0.93,0.84
