category,n,perc
18 to 24 years old,22,0.09
25 to 34 years old,71,0.3
35 to 44 years old,77,0.33
45 to 54 years old,53,0.23
55 years or older,11,0.05
Male,200,0.85
Female,34,0.15
No,129,0.55
Yes,105,0.45
Fire,132,0.56
Police,92,0.39
NA,10,0.04
